,E.C,TDS,Cl,NO3 ,Na,Ca,Mg,T.H,SAR,Classification,RSC  meq  / L
143,1090,697.6,110,17.49455,95.48600542,56.0,48.62,339.9177632,2.251774824,3,0.337581688
144,804,514.56,130,19.9305,56.94063963,48.0,38.896,279.9342105,1.479675616,3,-1.834948766
145,1450,928.0,280,101.867,105.2190557,72.0,77.792,499.8684211,2.046155867,3,-5.618946658
146,2070,1324.8,400,143.9425,201.693798,96.0,87.516,599.8519737,3.580491623,0,-5.814117227
147,1350,864.0,130,26.574,100.9264493,64.0,72.93,459.8766447,2.046239583,3,-0.427206974
148,870,556.8,170,29.89575,74.57495511,72.0,19.448,259.9671053,2.01097173,3,-2.258452531
149,830,531.2,150,20.15195,72.73548026,48.0,34.034,259.9424342,1.961461933,3,-1.870300461
150,2830,1811.2,590,232.5225,305.9359156,160.0,87.516,759.8519737,4.82545345,0,-8.443505351
151,2110,1350.4,480,155.015,119.7580697,160.0,97.24,799.8355263,1.841096727,3,-11.74825621
152,1721,1101.44,320,201.5195,138.4252969,96.0,77.792,559.8684211,2.543575549,3,-7.017054433
153,714,456.96,40,24.8024,63.58111447,48.0,24.31,219.9588816,1.863929787,2,0.93305745
154,1310,838.4,170,155.015,91.93025039,48.0,82.654,459.8601974,1.863878919,3,-3.897338183
155,350,224.0,30,13.7299,25.34785991,32.0,9.724,119.9835526,1.006126537,2,-0.127123313
156,2920,1868.8,770,186.018,169.4580472,264.0,106.964,1099.819079,2.221640259,0,-18.55298959
157,382,244.48,30,2.87885,22.0852428,32.0,14.586,139.9753289,0.811612251,2,-0.076825506
158,710,454.4,80,37.6465,44.80065673,48.0,34.034,259.9424342,1.20814192,2,-1.303888044
159,381,243.84,40,2.43595,21.8373952,40.0,9.724,139.9835526,0.802480508,2,-0.361755018
160,870,556.8,50,9.07945,80.39848452,72.0,19.448,259.9671053,2.168007735,3,1.607189842
161,1085,694.4,120,12.62265,158.9467674,40.0,24.31,199.9588816,4.887125755,3,2.758822852
162,2250,1440.0,460,54.9196,189.9321594,192.0,58.344,719.9013158,3.077755998,0,-6.626937161
163,412,263.68,30,2.2145,19.80130163,40.0,14.586,159.9753289,0.680674369,2,-0.127444553
164,1668,1067.52,240,143.0567,99.84615619,200.0,29.172,619.9506579,1.743512044,3,-5.544478858
165,1051,672.64,50,50.71205,105.5447845,88.0,19.448,299.9671053,2.649550036,3,1.802661271
166,1411,903.04,200,38.0894,151.7265771,56.0,58.344,379.9013158,3.384530448,3,-0.071069954
167,240,153.6,20,79.35580223,19.0,16.0,14.586,79.97532895,0.923735741,1,-0.199506579
168,340,217.6,30,9.8080205,33.0,24.0,9.724,99.98355263,1.434900615,2,0.400328947
169,1612,1031.68,250,10.69965873,223.0,40.0,58.344,339.9013158,5.258968919,3,0.801973684
170,1569,1004.16,110,45.47354959,257.0,40.0,34.034,239.9424342,7.213595024,3,5.601151316
171,1059,677.76,150,101.20265,69.39478669,80.0,38.896,359.9342105,1.590330711,3,-2.957053844
172,1574,1007.36,210,73.5214,73.42677121,152.0,58.344,619.9013158,1.282228177,3,-4.204556422
173,1986,1271.04,320,137.52045,82.90497879,120.0,126.412,819.7861842,1.258932598,3,-8.403516839
174,2060,1318.4,330,223.88595,98.97333282,104.0,136.136,819.7697368,1.502949603,3,-9.298577931
175,1475,944.0,130,58.24135,84.12445627,88.0,82.654,559.8601974,1.545804751,3,-1.460508979
176,2742,1754.88,600,84.151,240.9355435,136.0,126.412,859.7861842,3.572545807,0,-8.848373648
177,1299,831.36,130,52.2622,135.3795653,48.0,58.344,359.9013158,3.102655538,3,0.82498889
178,1592,1018.88,240,108.73195,130.537583,112.0,58.344,519.9013158,2.489128244,3,-3.570445587
179,2870,1836.8,420,256.66055,243.8144868,120.0,145.86,899.7532895,3.5340277,0,-6.362558145
180,1169,748.16,80,104.5244,13.34107229,112.0,68.068,559.8848684,0.245139636,3,-3.852833157
181,1287,823.68,150,85.4797,21.71424667,72.0,102.102,599.8273026,0.385481745,3,-5.087894258
182,3730,2387.2,620,664.35,218.9643425,280.0,170.17,1399.712171,2.544639075,0,-20.17747703
183,1012,647.68,130,13.46416,77.89601718,56.0,48.62,339.9177632,1.836963329,3,-1.141967438
184,1705,1091.2,20,143.0567,375.8479706,8.0,5.0,40.0,25.83773133,0,12.75000802
185,430,275.2,40,0.8858,33.75748878,48.0,4.862,139.9917763,1.24048362,2,0.064847175
186,1764,1128.96,310,34.878375,115.1167124,160.0,58.344,639.9013158,1.978581939,3,-6.764171099
187,1409,901.76,200,39.19665,114.6073525,104.0,48.62,459.9177632,2.323510034,3,-2.334056045
188,1830,1171.2,320,48.719,175.8569102,152.0,38.896,539.9342105,3.290494579,3,-3.137484509
189,2530,1619.2,310,284.3418,483.7845573,24.0,38.896,219.9342105,14.18331574,0,6.466190054
190,1450,928.0,80,29.6743,289.6110546,16.0,14.586,99.97532895,12.59333853,3,9.245858823
191,1163,744.32,60,94.55915,102.959453,56.0,53.482,359.9095395,2.359618061,3,0.598461833
192,1161,743.04,130,58.68425,112.0377129,32.0,63.206,339.8930921,2.64219721,3,-0.312326398
193,1480,947.2,180,198.19775,94.43889745,80.0,82.654,539.8601974,1.767186632,3,-4.834441317
194,823,526.72,60,133.7558,23.38753429,72.0,43.758,359.9259868,0.535981746,3,-3.129176638
195,745,476.8,20,14.1728,152.4908123,8.0,4.862,39.99177632,10.48408406,2,5.491410586
196,3450,2208.0,370,134.6416,696.9715615,24.0,24.31,159.9588816,23.95979194,0,17.41260164
197,1241,794.24,150,7.5293,57.93682515,176.0,14.586,499.9753289,1.126555441,3,-2.79432026
198,406,259.84,60,1.660875,37.61758289,40.0,4.862,119.9917763,1.493094547,2,-0.370101951
199,2740,1753.6,440,558.054,219.6721916,208.0,82.654,859.8601974,3.257116733,0,-12.31288471
200,1292,826.88,210,24.58095,96.02446958,104.0,43.758,439.9259868,1.990509581,3,-2.930480796
201,2810,1798.4,770,20.28482,98.93572639,264.0,131.274,1199.777961,1.241866382,0,-18.78081008
202,2670,1708.8,520,37.95653,332.9725306,144.0,63.206,619.8930921,5.814631174,0,-1.720581969
203,1320,844.8,200,77.0646,94.19945782,112.0,43.758,459.9259868,1.909750325,3,-3.534368137
204,1497,958.08,170,2.6574,216.7556348,32.0,48.62,279.9177632,5.632838903,3,4.009953358
205,1926,1232.64,320,106.296,176.2833391,176.0,34.034,579.9424342,3.182665443,3,-3.832487078
206,1411,903.04,210,25.001705,150.5274091,104.0,29.172,379.9506579,3.357562844,3,-0.309659931
207,1620,1036.8,320,45.84015,97.78230805,208.0,19.448,599.9671053,1.735676279,3,-6.433213832
208,1767,1130.88,350,9.96525,247.0493225,64.0,43.758,339.9259868,5.825908343,3,0.16378961
